ID,Event,Event Type,Name,Timestamp(ns),Process Id,Thread Id,Device Id,Ptr,Attr,Call Stack(Python),Call Stack(C)
2,OP_LAUNCH,ATEN_START,torch._ops.aten.t.default,1764753365728889760,3290097,3290097,0,N/A,,,
3,OP_LAUNCH,ATEN_END,torch._ops.aten.t.default,1764753365729873820,3290097,3290097,0,N/A,,,
4,OP_LAUNCH,ATEN_START,torch._ops.aten.addmm.default,1764753365730082510,3290097,3290097,0,N/A,,,
6,OP_LAUNCH,ATEN_END,torch._ops.aten.addmm.default,1764753366158628530,3290097,3290097,0,N/A,,,
7,OP_LAUNCH,ATEN_START,torch._ops.aten.mse_loss.default,1764753366159593920,3290097,3290097,0,N/A,,,
10,MALLOC,PTA,N/A,1764753366165640170,3290097,3290097,0,0x000012c041400000,"{allocation_id:4,addr:0x000012c041400000,size:16778240,total:20971520,used:16780288}",,
12,FREE,PTA,N/A,1764753366167061200,3290097,3290097,0,0x000012c041400000,"{allocation_id:4,addr:0x000012c041400000,size:16778240,total:20971520,used:2048}",,
13,OP_LAUNCH,ATEN_END,torch._ops.aten.mse_loss.default,1764753366167498250,3290097,3290097,0,N/A,,,
14,OP_LAUNCH,ATEN_START,torch._ops.profiler._record_function_enter_new.default,1764753366168135040,3290097,3290097,0,N/A,,,
15,OP_LAUNCH,ATEN_END,torch._ops.profiler._record_function_enter_new.default,1764753366168404670,3290097,3290097,0,N/A,,,
16,OP_LAUNCH,ATEN_START,torch._ops.profiler._record_function_exit._RecordFunction,1764753366168652030,3290097,3290097,0,N/A,,,
17,OP_LAUNCH,ATEN_END,torch._ops.profiler._record_function_exit._RecordFunction,1764753366168804820,3290097,3290097,0,N/A,,,
18,OP_LAUNCH,ATEN_START,torch._ops.aten.ones_like.default,1764753366169203870,3290097,3290097,0,N/A,,,
20,OP_LAUNCH,ATEN_END,torch._ops.aten.ones_like.default,1764753366181461280,3290097,3290097,0,N/A,,,
21,OP_LAUNCH,ATEN_START,torch._ops.aten.mse_loss_backward.default,1764753366182873470,3290097,3291992,0,N/A,,,
23,OP_LAUNCH,ATEN_END,torch._ops.aten.mse_loss_backward.default,1764753366196274920,3290097,3291992,0,N/A,,,
24,OP_LAUNCH,ATEN_START,torch._ops.aten.t.default,1764753366196456730,3290097,3291992,0,N/A,,,
25,OP_LAUNCH,ATEN_END,torch._ops.aten.t.default,1764753366196667970,3290097,3291992,0,N/A,,,
26,OP_LAUNCH,ATEN_START,torch._ops.aten.mm.default,1764753366196811120,3290097,3291992,0,N/A,,,
29,OP_LAUNCH,ATEN_END,torch._ops.aten.mm.default,1764753366205853160,3290097,3291992,0,N/A,,,
30,OP_LAUNCH,ATEN_START,torch._ops.aten.t.default,1764753366205939120,3290097,3291992,0,N/A,,,
31,OP_LAUNCH,ATEN_END,torch._ops.aten.t.default,1764753366206129190,3290097,3291992,0,N/A,,,
32,OP_LAUNCH,ATEN_START,torch._ops.aten.sum.dim_IntList,1764753366206300830,3290097,3291992,0,N/A,,,
34,MALLOC,PTA,N/A,1764753366252854710,3290097,3291992,0,0x000012c041202400,"{allocation_id:11,addr:0x000012c041202400,size:1536,total:20971520,used:6656}",,
36,FREE,PTA,N/A,1764753366259787220,3290097,3291992,0,0x000012c041202400,"{allocation_id:11,addr:0x000012c041202400,size:1536,total:20971520,used:5120}",,
37,OP_LAUNCH,ATEN_END,torch._ops.aten.sum.dim_IntList,1764753366260138610,3290097,3291992,0,N/A,,,
38,OP_LAUNCH,ATEN_START,torch._ops.aten.view.default,1764753366260320930,3290097,3291992,0,N/A,,,
39,OP_LAUNCH,ATEN_END,torch._ops.aten.view.default,1764753366260582740,3290097,3291992,0,N/A,,,
22,MALLOC,PTA,N/A,1764753366183520010,3290097,3291992,0,0x000012c041201a00,"{allocation_id:7,addr:0x000012c041201a00,size:1536,total:20971520,used:4096}",,
40,FREE,PTA,N/A,1764753366260640430,3290097,3291992,0,0x000012c041201a00,"{allocation_id:7,addr:0x000012c041201a00,size:1536,total:20971520,used:3584}",,
41,OP_LAUNCH,ATEN_START,torch._ops.aten.detach.default,1764753366260847590,3290097,3291992,0,N/A,,,
42,OP_LAUNCH,ATEN_END,torch._ops.aten.detach.default,1764753366261019670,3290097,3291992,0,N/A,,,
43,OP_LAUNCH,ATEN_START,torch._ops.aten.detach.default,1764753366261094740,3290097,3291992,0,N/A,,,
44,OP_LAUNCH,ATEN_END,torch._ops.aten.detach.default,1764753366261244950,3290097,3291992,0,N/A,,,
45,OP_LAUNCH,ATEN_START,torch._ops.aten.t.default,1764753366261346200,3290097,3291992,0,N/A,,,
46,OP_LAUNCH,ATEN_END,torch._ops.aten.t.default,1764753366261506900,3290097,3291992,0,N/A,,,
47,OP_LAUNCH,ATEN_START,torch._ops.aten.detach.default,1764753366261699830,3290097,3291992,0,N/A,,,
48,OP_LAUNCH,ATEN_END,torch._ops.aten.detach.default,1764753366261853990,3290097,3291992,0,N/A,,,
49,OP_LAUNCH,ATEN_START,torch._ops.aten.detach.default,1764753366261924400,3290097,3291992,0,N/A,,,
50,OP_LAUNCH,ATEN_END,torch._ops.aten.detach.default,1764753366262059250,3290097,3291992,0,N/A,,,
19,MALLOC,PTA,N/A,1764753366169542860,3290097,3290097,0,0x000012c041201800,"{allocation_id:6,addr:0x000012c041201800,size:512,total:20971520,used:2560}",,
51,FREE,PTA,N/A,1764753366262184250,3290097,3290097,0,0x000012c041201800,"{allocation_id:6,addr:0x000012c041201800,size:512,total:20971520,used:3072}",,
52,OP_LAUNCH,ATEN_START,torch._ops.profiler._record_function_enter_new.default,1764753366262373010,3290097,3290097,0,N/A,,,
53,OP_LAUNCH,ATEN_END,torch._ops.profiler._record_function_enter_new.default,1764753366262562720,3290097,3290097,0,N/A,,,
54,OP_LAUNCH,ATEN_START,torch._ops.aten._foreach_add_.List,1764753366263269690,3290097,3290097,0,N/A,,,
55,MALLOC,PTA,N/A,1764753366265694120,3290097,3290097,0,0x000012c041201800,"{allocation_id:13,addr:0x000012c041201800,size:1024,total:20971520,used:4096}",,
56,FREE,PTA,N/A,1764753366266191160,3290097,3290097,0,0x000012c041201800,"{allocation_id:13,addr:0x000012c041201800,size:1024,total:20971520,used:3072}",,
57,OP_LAUNCH,ATEN_END,torch._ops.aten._foreach_add_.List,1764753366266307130,3290097,3290097,0,N/A,,,
58,OP_LAUNCH,ATEN_START,torch._ops.profiler._record_function_exit._RecordFunction,1764753366266498200,3290097,3290097,0,N/A,,,
59,OP_LAUNCH,ATEN_END,torch._ops.profiler._record_function_exit._RecordFunction,1764753366266641240,3290097,3290097,0,N/A,,,
60,OP_LAUNCH,ATEN_START,torch._ops.aten.randn.default,1764753366266774150,3290097,3290097,0,N/A,,,
61,OP_LAUNCH,ATEN_END,torch._ops.aten.randn.default,1764753366288158130,3290097,3290097,0,N/A,,,
62,OP_LAUNCH,ATEN_START,torch._ops.aten._to_copy.default,1764753366288318910,3290097,3290097,0,N/A,,,
64,OP_LAUNCH,ATEN_END,torch._ops.aten._to_copy.default,1764753366289298650,3290097,3290097,0,N/A,,,
65,OP_LAUNCH,ATEN_START,torch._ops.aten.t.default,1764753366290418820,3290097,3290097,0,N/A,,,
66,OP_LAUNCH,ATEN_END,torch._ops.aten.t.default,1764753366290647210,3290097,3290097,0,N/A,,,
67,OP_LAUNCH,ATEN_START,torch._ops.aten.addmm.default,1764753366290748360,3290097,3290097,0,N/A,,,
69,OP_LAUNCH,ATEN_END,torch._ops.aten.addmm.default,1764753366291625510,3290097,3290097,0,N/A,,,
5,MALLOC,PTA,N/A,1764753365730785900,3290097,3290097,0,0x000012c041201000,"{allocation_id:1,addr:0x000012c041201000,size:1536,total:2097152,used:1536}",,
70,FREE,PTA,N/A,1764753366291681530,3290097,3290097,0,0x000012c041201000,"{allocation_id:1,addr:0x000012c041201000,size:1536,total:20971520,used:4003328}",,
